8.519	0.0919	101.3	4.526	8.454	0.07127	5.315	0.05909	63.5	6.55	4.877	0.06367
7.909	0.07044	95.41	3.237	8.108	0.06148	7.49	0.4456	-16.29	3.888	0	0
7.058	0.05628	114.1	3.1	7.278	0.05712	5.387	0.04293	253	15.09	5.542	0.0717
9.072	0.05508	103.9	3.098	8.985	0.03797	7.289	0.05346	100.5	2.436	7.268	0.0458
7.705	0.07165	120.6	10.69	8.185	0.08442	5.173	0.1139	63.86	4.192	5.053	0.09061
6.648	0.05896	110.1	3.117	6.632	0.05036	4.335	0.1336	52.01	9.659	3.722	0.06931
6.522	0.09817	111	5.947	6.653	0.07371	6.667	0.1913	-48.2	4.596	0	0
8.953	0.1162	97.72	6.26	8.636	0.09239	6.914	0.2581	42.27	5.42	6.5	0.1867
8.32	0.08186	104.1	4.167	8.152	0.06714	5.86	0.2376	45.81	4.792	5.619	0.1777
10.19	0.1272	86.96	5.191	9.93	0.1052	6.644	0.1351	95.05	6.268	6.679	0.09876
7.716	0.1394	92.09	6.004	7.475	0.1176	5.966	0.307	32.1	5.041	5.343	0.2488
7.187	0.1435	93.08	6.27	7.002	0.1162	5.043	0.06454	136.5	6.6	5.472	0.1018
9.081	0.08248	98.71	4.5	9.003	0.07016	8.489	0.1153	102.3	5.864	8.475	0.08351
9.142	0.09191	93.77	4.852	8.995	0.07671	6.655	0.133	64.11	4.09	6.435	0.1006
6.266	0.1647	96.75	9.623	6.351	0.09967	5.827	0.09393	150.6	8.126	6.044	0.06817
9.588	0.1278	86.77	7.028	9.347	0.1126	7.433	0.1367	111.4	8.345	7.404	0.08411
7.529	0.1224	81.72	4.854	7.326	0.1069	5.468	0.1599	43.79	6.6	5.064	0.2039
6.135	0.1309	122.2	10.24	6.43	0.102	5.154	0.2657	50.66	8.016	4.932	0.1863
6.308	0.1376	100	8.144	6.355	0.08886	NF	NF	0	0	0	0
NF	NF	0	0	0	0	4.705	0.3681	29	6.6	3.913	0.1538
8.4	0.1626	85.33	6.628	8.102	0.1459	7.66	0.3062	61.34	9.906	7.881	0.2143
