NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	7.652	0.2501	108.3	10.91	7.288	0.2265	7.782	0.1718	25.03	2.336	6.148	0.1214	7.768	0.3613	65.41	15.14	7.207	0.1097	7.551	0.3504	75.63	18.52	6.676	0.09741	5.27	0.218	64.91	8.344	5.005	0.1559
NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	4.212	0.2812	NR	NR	0	0	0	0	7.096	0.1649	118.1	8.217	6.854	0.1525	5.846	0.1686	29.6	5.92	4.969	0.1308	7.142	0.1824	68.21	8.423	7.184	0.08487	6.741	0.2835	51.74	8.75	5.601	0.1447	7.379	0.3899	29.96	5.816	6.543	0.373
6.699	0.05476	114.3	3.013	6.83	0.0494	6.685	1.457	89.8	2.066	6.645	0.03694	7.363	0.06272	100.6	0.7475	7.354	0.04224	7.421	0.03532	101.7	1.762	7.435	0.02642	7.032	0.02456	95.76	1.116	7.019	0.01707	10.02	0.2103	96.88	8.712	9.771	0.2013	7.159	0.1496	146.1	13.32	7.148	0.07371	8.507	0.1567	78.74	7.983	7.748	0.1059	7.356	0.1353	193.7	15.98	7.326	0.07158	8.947	0.1451	120.7	8.564	8.79	0.1273
NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	6.587	0.2032	5.451	0.5317	5.633	0.1466	7.327	0.1516	8.379	0.6166	6.096	0.1512	NR	NR	0	0	6.492	0.2071	7.498	0.1984	113.6	9.028	7.208	0.1812	6.374	0.1262	55.17	3.433	5.706	0.09629	7.214	0.1262	69.13	5.823	7.032	0.07035	6.822	0.1614	84.8	7.048	6.318	0.1198	7.454	0.1691	54.71	3.738	6.933	0.1649
5.115	0.06206	91.69	2.57	5.063	0.0544	5.062	0.05894	96.17	2.61	5.172	0.05398	6.085	0.05538	107.6	4.046	6.208	0.03211	6.185	0.04319	105.8	3.1	6.293	0.02808	5.598	0.07204	109.4	5.424	5.806	0.03235	11.49	0.179	84.49	4.861	10.99	0.181	6.787	0.1286	157	12.6	6.978	0.0696	7.47	0.1473	99.83	8.828	7.63	0.0712	6.892	0.1571	198.5	19.08	6.902	0.07271	7.847	0.179	95.61	8.042	7.637	0.1496
4.45	0.229	26.44	2.57	3.404	0.1231	4.587	0.1242	16.43	2.284	3.861	0.1567	4.818	0.06419	68.65	3.069	4.694	0.04335	4.934	0.0524	63.45	2.168	4.772	0.03795	4.826	0.05143	38.39	1.99	4.434	0.06003	6.477	0.2746	125	15.03	6.284	0.2324	5.629	0.1558	196.6	21.48	5.967	0.08313	6.523	0.06503	103.5	4.506	6.676	0.05737	6.135	0.1021	200.1	14.1	6.116	0.06195	5.306	0.1041	256.8	14.74	5.9	0.2229
NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	5.73	0.1607	NR	NR	0	0	5.962	0.1812	NR	NR	0	0	5.74	0.2126	7.383	0.2745	105.9	13.46	7.073	0.156	7.411	0.2316	39.06	4.9	6.558	0.1528	7.841	0.09502	61.44	3.189	7.152	0.06999	6.966	0.1556	68.82	5.587	6.121	0.1145	8.109	0.3377	78.55	14.45	7.767	0.3129
NR 	NR 	0	0	0	0	4.356	0.4992	15.21	7.373	5	0.3107	4.949	0.1379	44.65	4.368	4.861	0.04317	5.62	0.09075	35.44	1.752	5.155	0.07686	5.203	0.1188	21.3	1.46	4.653	0.08635	5.563	0.1983	124.4	11.56	5.349	0.1694	6.069	0.1568	91.28	5.92	5.799	0.09619	6.554	0.05833	89.32	3.395	6.504	0.03649	5.945	0.1078	100.3	5.249	5.35	0.09014	5.105	0.105	124.4	8.6	4.937	0.08486
NR 	NR 	0	0	4.554	0.3062	NR	NR	0	0	0	0	NR	NR	0	0	4.335	0.1457	5.427	0.06159	12.02	0.6271	4.442	0.09063	NR	NR	0	0	3.866	0.2648	7.462	0.2702	119	15.7	7.015	0.1386	5.934	0.1484	79.41	5.717	5.456	0.1155	6.46	0.1189	92.3	7.064	6.414	0.05942	6.429	0.08671	143.8	5.945	6.109	0.0722	6.651	0.2426	51.63	6.171	6.129	0.1969
4.537	0.2443	14.81	2.57	3.893	0.2414	4.646	0.274	13.88	2.959	4.198	0.1775	6.291	0.04848	42.92	0.9825	6.008	0.03709	6.439	0.06409	53.63	2.27	6.257	0.04123	5.944	0.1117	32.58	2.405	5.745	0.05328	7.36	0.2572	94.44	9.962	6.953	0.2187	6.973	0.1568	94.2	7.281	6.645	0.1201	7.424	0.07622	89.07	4.32	7.236	0.05128	7.285	0.09263	143.1	6.969	7.078	0.07065	7.781	0.2035	97.36	10.85	7.589	0.1658
4.951	0.05809	52.85	3.48	4.655	0.06996	5.314	0.1361	36.82	2.907	4.928	0.1009	5.685	0.0664	75.44	3.999	5.54	0.06745	5.83	0.03384	85.67	2.338	6.236	0.02238	5.451	0.131	70.37	4.904	5.317	0.09916	6.201	0.244	122	13.2	5.986	0.2239	6.581	0.1362	108.5	6.989	6.342	0.1088	6.808	0.058	91.94	2.576	6.816	0.04786	6.642	0.1057	142.9	7.171	6.429	0.08406	4.809	0.195	226	25.72	5.287	0.2431
5.611	0.2256	19.1	2.227	4.822	0.2165	NR	NR	0	0	0	0	NR	NR	0	0	4.393	0.4226	NR	NR	0	0	0	0	NR	NR	0	0	2.878	0.3287	7.591	0.2538	83.9	8.467	7.04	0.2198	5.983	0.1721	50.63	4.201	5.299	0.1356	6.809	0.1007	58.02	2.823	6.398	0.07822	6.307	0.1474	75.98	5.344	5.695	0.1111	6.746	0.2662	51.6	6.45	6.31	0.2168
NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	5.257	0.2102	6.437	2.1	4.111	0.1923	5.136	0.1357	10.02	0.8057	4.083	0.117	NR	NR	0	0	3.474	0.3262	6.818	0.3913	61.75	8.189	6.227	0.3349	5.76	0.2055	64.82	5.92	5.517	0.1275	6.656	0.1023	74.29	3.614	6.475	0.07519	6.231	0.2879	89.05	15.93	5.707	0.1245	8.249	0.8573	20.98	8.006	7.33	0.7299
NR 	NR 	0	0	5.859	0.3279	NR	NR	0	0	5.062	0.2395	6.337	0.1016	45.49	3.215	6.202	0.05064	6.73	0.08393	45.74	1.828	6.465	0.0642	6.411	0.1029	24.14	1.213	5.905	0.07751	15.48	0.3528	57.29	7.879	14.65	0.3541	7.706	0.1083	86.15	5.145	7.394	0.07912	7.734	0.07567	98.77	4.828	7.615	0.03902	7.957	0.1263	110.6	7.753	7.512	0.09307	8.203	0.1746	115.9	13.75	7.766	0.1359
