4.555	0.16	7.405	1.75	3.699	0.1762
6.207	0.03997	104.8	1.986	6.241	0.02829
6.334	0.05148	68.26	1.666	6.211	0.03882
6.43	0.0749	52.33	1.863	6.223	0.05653
6.361	0.03746	87.73	2.368	6.321	0.0344
NR	NR	0	0	0	0
6.362	0.01421	99.06	0.9146	6.362	0.0111
6.548	0.05004	44.03	1.064	6.274	0.03769
5.553	0.03585	34.76	1.01	5.163	0.03414
NR	NR	0	0	0	0
NF	NF	0	0	2.982	0.05977
NF	NF	0	0	0	0
NF	NF	0	0	2.782	0.08794
7.37	0.03592	102.3	1.789	7.38	0.02371
7.492	0.1695	7.337	0.618	6.329	0.1439
6.102	0.05282	104.4	3.753	6.163	0.03108
4.914	0.1253	70.43	5.82	4.813	0.08721
6.622	0.1013	7.541	0.6159	5.69	0.1195
4.984	0.06779	36.32	1.564	4.653	0.04782
5.545	0.1413	6.336	0.4649	4.532	0.106
6.025	0.08936	49.53	0.08936	5.911	0.05123
5.328	0.06507	85.82	2.987	5.281	0.04852
NR	NR	0	0	4.618	0.4369
NR	NR	0	0	3.943	0.1739
6.094	0.08686	30.37	1.265	5.658	0.06693
