9.248	0.06244	88.35	5.004	9.145	0.07237
10.23	0.09331	93.71	4.044	10.16	0.07645
9.646	0.06913	93.91	3.82	9.503	0.04678
10.52	0.09011	94.44	4.121	10.5	0.06873
9.727	0.0615	97.73	3.035	9.68	0.04985
8.11	0.09792	91.15	4.056	8.009	0.08001
8.555	0.0682	104.1	3.697	8.627	0.04214
9.991	0.0725	97.25	5.17	9.889	0.05858
8.709	0.09884	104.6	5.188	8.742	0.08428
6.287	0.07979	85.7	5.17	6.259	0.06892
8.83	0.12	102.6	6.348	8.841	0.09605
8.987	0.08345	90.03	4.034	8.847	0.06725
8.975	0.06393	95.22	5.185	8.902	0.07722
11.07	0.05202	90.32	3.786	10.98	0.05135
8.951	0.0965	92.11	4.732	8.855	0.07652
9.527	0.1071	81.84	5.567	9.385	0.08322
8.284	0.1291	92.16	5.63	8.129	0.09375
9.153	0.1179	89.75	5.9	9.028	0.09279
8.711	0.1219	98.45	6.131	8.642	0.09212
8.134	0.1255	96.03	5.692	8.136	0.0945
9.069	0.1351	93.65	6.969	8.995	0.1028
8.565	0.1439	97.54	6.734	8.55	0.1087
9.203	0.1432	90.29	7.407	9.109	0.1093
8.674	0.1175	92.98	5.47	8.522	0.09066
9.511	0.1138	99.02	6.371	9.451	0.0594
