8.212	4.125	58.86	4.125	7.857	0.09472
7.195	0.1616	100.4	9.745	7.189	0.07035
7.126	0.05829	91.58	3.319	6.982	0.03506
7.613	0.04543	91.18	2.081	7.606	0.03863
8.21	0.09141	103.1	6.285	8.059	0.05286
6.586	2.434	62.68	0.08202	6.073	0.06816
7.267	0.04898	101.8	2.965	7.297	0.02774
7.936	0.05807	98.08	3.799	7.91	0.03267
6.462	0.07195	99.97	4.713	6.392	0.04663
4.967	0.1914	59.86	7.342	4.513	0.1337
6.701	0.2268	60.52	9.453	6.122	0.1082
7.678	0.3259	62	5.58	7.466	0.1385
7.517	0.147	44.81	3.757	6.787	0.1083
8.804	0.1861	88.69	8.938	8.953	0.1372
7.424	0.1071	76.27	5.381	7.043	0.05597
8.02	0.161	107.5	9.87	8.09	0.06601
6.825	0.06934	98.85	4.439	6.745	0.04565
8.016	0.1179	64.8	4.163	7.74	0.08414
6.983	0.08959	88.86	5.047	6.781	0.0574
6.199	0.1169	88.64	6.772	5.98	0.05949
7.726	0.1843	93.05	10.41	7.476	0.09408
6.756	0.09209	94.85	5.554	6.553	0.05938
7.404	0.1438	40.67	3.235	6.626	0.1099
6.221	0.1373	79.92	7.036	5.929	0.06537
7.624	0.09512	90.18	5.569	7.383	0.05261
