4.231	0.05661	24.84	2.08	3.462	0.04594	4.385	0.1219	27.07	2.88	3.481	0.05018	4.14	0.1348	55.56	9.089	3.856	0.06491	4.501	0.05299	67.61	3.267	4.117	0.03134	4.415	0.05058	44.61	2.26	3.874	0.02137	7.187	0.1435	93.08	6.27	7.002	0.1162	4.983	0.09393	115.5	8.501	4.681	0.03689	5.356	0.06362	100.6	3.392	5.211	0.0371	5.279	0.07765	115.4	5.027	5.063	0.04652	5.043	0.06454	136.5	6.6	5.472	0.1018
6.594	0.06161	89.97	2.687	6.638	0.05368	6.577	0.0779	109.3	5.042	6.652	0.04803	6.8	0.08572	104.6	5.188	6.814	0.05005	7.183	0.06379	90.22	3.32	7.019	0.04229	6.932	0.06195	88.63	2.513	6.78	0.05278	9.081	0.08248	98.71	4.5	9.003	0.07016	8.053	0.0436	140.8	4.585	7.932	0.03773	8.195	0.05551	121.6	5.126	8.173	0.04295	8.41	0.07841	126.3	4.883	8.355	0.06141	8.489	0.1153	102.3	5.864	8.475	0.08351
NR	NR	0	0	4.725	0.392	NR	NR	0	0	0	0	6.103	0.1422	9.309	0.6295	5.294	0.1429	6.541	0.1023	28.74	1.332	5.907	0.08284	6.316	0.142	16.19	1.053	5.409	0.114	9.142	0.09191	93.77	4.852	8.995	0.07671	6.507	0.158	52.16	3.958	5.622	0.1246	6.811	0.07351	56.36	2.004	6.195	0.05698	6.852	0.1597	62.52	4.85	6.291	0.1202	6.655	0.133	64.11	4.09	6.435	0.1006
4.823	0.05361	21.85	2.08	4.18	0.2424	4.552	0.1454	20.7	2.88	3.713	0.1667	5.079	0.2502	21.14	3.473	4.323	0.1775	4.635	0.1108	45.8	2.28	3.946	0.1279	4.27	0.04716	35.77	2.26	4.029	0.151	6.266	0.1647	96.75	9.623	6.351	0.09967	5.782	0.05518	100.7	3.15	5.353	0.0435	5.955	0.06002	110.4	4.866	5.864	0.02845	5.909	0.08387	113.5	5.312	5.673	0.05264	5.827	0.09393	150.6	8.126	6.044	0.06817
6.088	0.04709	89.44	2.76	5.996	0.0512	6.118	0.03141	98.3	1.444	6.104	0.02282	6.383	0.02314	94.42	1.03	6.303	0.02972	6.805	0.04082	100.3	1.863	6.859	0.03644	6.661	0.04522	94.29	1.932	6.653	0.03344	9.588	0.1278	86.77	7.028	9.347	0.1126	6.946	0.08528	116.5	6.187	6.674	0.04988	7.3	0.1056	118.8	7.486	7.133	0.05382	7.186	0.09939	96.18	4.912	6.945	0.07256	7.433	0.1367	111.4	8.345	7.404	0.08411
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	7.529	0.1224	81.72	4.854	7.326	0.1069	5.383	0.2366	28.79	5.541	4.211	0.1444	6.92	0.1483	30.52	2.21	5.853	0.1239	6.752	0.2255	19.37	2.259	5.353	0.1636	5.468	0.1599	43.79	6.6	5.064	0.2039
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	6.135	0.1309	122.2	10.24	6.43	0.102	5.443	0.2041	23.93	3.381	4.026	0.1445	5.684	0.1485	33.97	2.601	4.767	0.1136	5.297	0.1496	63.03	5.5	4.629	0.1118	5.154	0.2657	50.66	8.016	4.932	0.1863
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NF	NF	0	0	0	0	6.308	0.1376	100	8.144	6.355	0.08886	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0
NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NF	NF	0	0	0	0	5.394	0.3628	12.9	2.519	3.682	0.2609	6.615	0.2579	13.04	1.627	5.225	0.188	7.844	0.3789	-18.73	4.482	0	0	4.705	0.3681	29	6.6	3.913	0.1538
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	8.4	0.1626	85.33	6.628	8.102	0.1459	5.601	0.2398	21.87	3.18	4.066	0.1	6.988	0.2341	29.57	3.286	5.966	0.1776	6.519	0.2446	34.45	4.147	5.438	0.1874	7.66	0.3062	61.34	9.906	7.881	0.2143
