NR	NR	0	0	0	0	NF	NF	0	0	2.554	0.1333	4.643	0.2024	15.86	1.87	3.995	0.2119	4.709	0.1503	14.99	1.68	4.286	0.1751	4.555	0.16	7.405	1.75	3.699	0.1762	9.248	0.06244	88.35	5.004	9.145	0.07237	8.252	0.1591	40.91	3.359	7.311	0.1244	8.212	4.125	58.86	4.125	7.857	0.09472	8.577	0.09778	79.93	4.57	8.264	0.07061	8.371	0.2207	60.85	7.188	7.404	0.1625	NR 	NR 	0	0	0	0	NR	NR	0	0	5.037	0.4293	7.26	0.4856	2.929	0.4856	5.794	0.2744	NR	NR	0	0	5.361	0.2234	NR	NR	0	0	0	0	7.045	0.2911	105.6	13.47	6.926	0.2544	7.727	0.06423	42.79	2.232	6.885	0.08465	8.008	0.2116	74.66	11.07	7.626	0.08481	7.92	0.06321	86.86	4.34	7.277	0.0702	8.334	0.1801	91.15	9.349	8.051	0.1334	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	3.503	0.169	8.519	0.0919	101.3	4.526	8.454	0.07127	7.347	0.2022	13.34	1.305	5.508	0.1637	7.05	0.1175	72.84	4.22	6.732	0.06156	7.442	0.14	42.38	4.365	6.61	0.06924	5.315	0.05909	63.5	6.55	4.877	0.06367	NR	NR	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NF	NF	0	0	0	0	7.783	0.05065	99.79	3.403	7.868	0.08421	7.485	0.2639	15.54	1.943	6.157	0.1909	6.883	0.2013	45.46	5.931	6.139	0.08354	7.279	0.1927	30.59	2.805	6.059	0.1437	5.512	0.03574	196.7	11.9	4.599	0.04144	1	NA	0.13008	NA	0.1049	NA	0.14151	NA	0.125	NA	0.16	NA	0.13008	NA	0.26667	NA	0.25	NA	0.17647	NA	0.10169	NA	0.3617	NA	0.37815	NA	0.13393	NA	0.11207	NA	0.10078	NA	0.0625	NA	0.27273	NA	0.11667	NA	0.1405	NA	0.17143	NA	0.12097	NA	0.11304	NA	0.11905	NA	0.10317	NA	1	NA	0.49333	NA	0.56757	NA	0.42254	NA	0.56757	NA	0.57813	NA	0.44156	NA	0.625	NA	0.85938	NA	0.60938	NA	0.47143	NA	0.74194	NA	0.78873	NA	0.44	NA	0.5	NA	0.50617	NA	0.44304	NA	0.69841	NA	0.51316	NA	0.54545	NA	0.625	NA	0.56962	NA	0.51471	NA	0.54054	NA	0.625	NA	1	NA	0.04375	NA	0.061111	NA	0.075188	NA	0.085714	NA	0.096	NA	0.042945	NA	0.19048	NA	0.20769	NA	0.10078	NA	0.076923	NA	0.22131	NA	0.32168	NA	0.061224	NA	0.054795	NA	0.076433	NA	0.052632	NA	0.17188	NA	0.07483	NA	0.071895	NA	0.087591	NA	0.080537	NA	0.06338	NA	0.058442	NA	0.070968	NA
5.933	0.03774	103.9	1.891	5.974	0.02623	5.899	0.02753	86.58	1.755	5.827	0.02588	6.612	0.0244	98.99	1.724	6.615	0.02003	6.576	0.03386	104	1.686	6.627	0.02644	6.207	0.03997	104.8	1.986	6.241	0.02829	10.23	0.09331	93.71	4.044	10.16	0.07645	6.61	0.0604	103.6	3.944	6.547	0.03341	7.195	0.1616	100.4	9.745	7.189	0.07035	7.636	0.1011	107.4	6.74	7.424	0.05462	7.272	0.4705	115.3	23.15	6.752	0.1307	5.684	0.07381	94.6	3.508	5.591	0.04734	5.607	0.08012	79.76	3.254	5.507	0.06234	6.26	0.04206	98.11	1.955	6.21	0.02861	6.329	0.03075	95.52	1.392	6.264	0.02337	5.969	0.03517	92.14	1.556	5.899	0.02571	8.891	0.1839	89.35	7.481	8.443	0.1613	6.294	0.07195	128.3	4.353	6.178	0.05046	7.434	0.08144	94.81	4.65	7.503	0.04008	6.89	0.1588	113	8.765	6.489	0.1205	7.391	0.1553	90.41	5.538	7.105	0.1353	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	0.13008	NA	1	NA	0.30631	NA	0.17391	NA	0.15306	NA	0.13187	NA	0.4	NA	0.17647	NA	0.10909	NA	0.10309	NA	0.125	NA	0.16162	NA	0.14394	NA	0.46154	NA	0.28889	NA	0.09322	NA	0.078947	NA	0.14141	NA	0.11009	NA	0.10619	NA	0.1828	NA	0.10526	NA	0.16162	NA	0.19626	NA	0.076923	NA	0.49333	NA	1	NA	0.6875	NA	0.45313	NA	0.56522	NA	0.45313	NA	0.80702	NA	0.41176	NA	0.52055	NA	0.50794	NA	0.43939	NA	0.49254	NA	0.58667	NA	0.78571	NA	0.77586	NA	0.37349	NA	0.37662	NA	0.5	NA	0.38961	NA	0.46053	NA	0.45455	NA	0.46835	NA	0.46154	NA	0.55882	NA	0.45333	NA	0.04375	NA	1	NA	0.2381	NA	0.1453	NA	0.11719	NA	0.07563	NA	0.34167	NA	0.036765	NA	0.042254	NA	0.072581	NA	0.11538	NA	0.068702	NA	0.071429	NA	0.36111	NA	0.21849	NA	0.066667	NA	0.06338	NA	0.076336	NA	0.064286	NA	0.068966	NA	0.12	NA	0.062937	NA	0.12698	NA	0.14925	NA	0.060811	NA
6.108	0.05233	45.44	1.134	5.847	0.03962	6.027	0.05064	50.73	1.228	5.754	0.03877	6.66	0.05578	84.44	2.267	6.606	0.04156	6.591	0.04078	82.6	1.614	6.521	0.03047	6.334	0.05148	68.26	1.666	6.211	0.03882	9.646	0.06913	93.91	3.82	9.503	0.04678	6.66	0.09313	85.29	5.006	6.348	0.05214	7.126	0.05829	91.58	3.319	6.982	0.03506	7.549	0.1223	107.4	7.858	7.466	0.05751	6.16	0.1421	118	7.87	5.941	0.1413	6.182	0.1225	17.6	1.768	5.583	0.1413	5.74	0.1815	20.12	1.822	5.166	0.1371	6.239	0.04454	65.81	1.387	6.08	0.03415	6.297	0.03823	62.26	1.124	6.103	0.03064	5.997	0.05359	43.84	1.131	5.691	0.0412	6.895	0.2017	122.9	10.66	6.754	0.1883	5.99	0.1571	66.93	5.067	5.613	0.1172	7.279	0.05044	87.68	2.83	7.223	0.03155	6.768	0.1443	84.08	5.834	6.181	0.1081	5.491	0.2542	49.4	0.2542	5.18	0.1967	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	0.1049	NA	0.30631	NA	1	NA	0.14414	NA	0.12821	NA	0.10909	NA	0.33028	NA	0.14876	NA	0.093023	NA	0.086207	NA	0.10569	NA	0.12605	NA	0.12583	NA	0.33	NA	0.22727	NA	0.088235	NA	0.083969	NA	0.11864	NA	0.10236	NA	0.099237	NA	0.15179	NA	0.10687	NA	0.13559	NA	0.176	NA	0.066176	NA	0.56757	NA	0.6875	NA	1	NA	0.49231	NA	0.53425	NA	0.42647	NA	0.64615	NA	0.53846	NA	0.57534	NA	0.43478	NA	0.33784	NA	0.48571	NA	0.66216	NA	0.625	NA	0.62121	NA	0.51282	NA	0.5942	NA	0.51471	NA	0.56338	NA	0.55405	NA	0.5625	NA	0.62162	NA	0.57143	NA	0.69231	NA	0.52703	NA	0.061111	NA	0.2381	NA	1	NA	0.13669	NA	0.098684	NA	0.085714	NA	0.29371	NA	0.044304	NA	0.055215	NA	0.068027	NA	0.10458	NA	0.086093	NA	0.073684	NA	0.29545	NA	0.16552	NA	0.088757	NA	0.086957	NA	0.092715	NA	0.08805	NA	0.078313	NA	0.11565	NA	0.08642	NA	0.12925	NA	0.14103	NA	0.052326	NA
6.171	0.09088	26.62	1.148	5.78	0.06894	6.221	0.0826	27.5	1.077	5.692	0.06389	6.794	0.07397	72.67	2.617	6.705	0.05461	6.8	0.04521	72.7	1.601	6.695	0.03317	6.43	0.0749	52.33	1.863	6.223	0.05653	10.52	0.09011	94.44	4.121	10.5	0.06873	7.475	0.04107	80.97	1.642	7.118	0.03967	7.613	0.04543	91.18	2.081	7.606	0.03863	8.156	0.07383	102.7	4.307	8.037	0.05515	7.476	0.1456	83.54	5.932	6.941	0.1096	6.611	0.08623	19.29	1.534	6.149	0.117	5.777	0.149	19.81	1.463	5.22	0.1124	6.471	0.04725	63.92	1.424	6.3	0.0359	6.548	0.06263	64.11	1.897	6.374	0.04835	6.279	0.06685	41.01	1.295	5.934	0.05122	8.821	0.2854	134.1	17.05	8.725	0.243	6.635	0.09062	95.29	4.153	6.369	0.07069	7.49	0.0429	91.23	1.932	7.49	0.03737	7.289	0.1204	99.83	5.807	6.717	0.09737	8.414	0.1939	93.28	8.643	8.266	0.1535	NR	NR	0	0	0	0	4.766	0.2798	14.44	2.903	4.024	0.1792	5.035	0.3293	16.31	3.33	4.231	0.2243	5.299	0.1321	30.44	2.238	4.729	0.1041	4.742	0.1598	26.13	3.04	3.997	0.1219	7.909	0.07044	95.41	3.237	8.108	0.06148	5.581	0.1275	21.71	1.403	4.193	0.09955	5.792	0.0782	98.75	5.486	5.659	0.03929	5.608	0.06307	46.56	1.502	4.727	0.05019	7.49	0.4456	-16.29	3.888	0	0	NR	NR	0	0	5.663	0.4444	NR	NR	0	0	3.17	0.2232	4.999	0.1207	9.069	0.6918	3.693	0.08492	4.798	0.1036	17.95	1.408	3.932	0.08056	4.904	0.0992	12.83	0.8645	3.827	0.08521	7.164	0.1802	131.7	9.882	0	0	4.651	0.1812	19.52	2.743	3.338	0.1167	5.655	0.09993	55.46	3.908	4.973	0.05367	5.263	0.09957	34.81	1.956	4.07	0.07439	4.891	0.1456	76.89	7.475	3.361	0.0964	0.14151	NA	0.17391	NA	0.14414	NA	1	NA	0.21795	NA	0.16438	NA	0.14894	NA	0.1087	NA	0.18182	NA	0.17105	NA	0.125	NA	0.16867	NA	0.13675	NA	0.17073	NA	0.15294	NA	0.26136	NA	0.15385	NA	0.15854	NA	0.2716	NA	0.12632	NA	0.27778	NA	0.3012	NA	0.16867	NA	0.17021	NA	0.069307	NA	0.42254	NA	0.45313	NA	0.49231	NA	1	NA	0.61667	NA	0.49091	NA	0.4375	NA	0.30769	NA	0.42857	NA	0.37705	NA	0.42373	NA	0.45902	NA	0.54286	NA	0.36923	NA	0.41538	NA	0.58462	NA	0.61017	NA	0.51724	NA	0.62712	NA	0.49254	NA	0.51786	NA	0.56716	NA	0.58491	NA	0.55738	NA	0.4	NA	0.075188	NA	0.1453	NA	0.13669	NA	1	NA	0.19	NA	0.10638	NA	0.12295	NA	0.044643	NA	0.078261	NA	0.10101	NA	0.14151	NA	0.09434	NA	0.098592	NA	0.13889	NA	0.14151	NA	0.12397	NA	0.11404	NA	0.11429	NA	0.12613	NA	0.091667	NA	0.18367	NA	0.14286	NA	0.14563	NA	0.14035	NA	0.064	NA
6.27	0.03679	75.4	2.089	6.159	0.04148	6.059	0.05203	81.41	2.02	5.982	0.03965	6.649	0.03075	89.42	2.137	6.589	0.03962	6.678	0.02517	89.3	1.763	6.624	0.03503	6.361	0.03746	87.73	2.368	6.321	0.0344	9.727	0.0615	97.73	3.035	9.68	0.04985	8.038	0.07193	110.9	5.339	7.851	0.04954	8.21	0.09141	103.1	6.285	8.059	0.05286	8.785	0.0912	121.6	7.865	8.895	0.07922	6.654	0.1433	182.2	7.87	6.96	0.1325	6.132	0.08087	82.35	3.166	6.081	0.06131	5.756	0.06169	83.98	2.592	5.683	0.04781	6.44	0.04652	89.33	3.082	6.37	0.04771	6.481	0.03728	92.33	2.552	6.393	0.03402	6.174	0.04001	86.74	2.476	6.041	0.03366	8.148	0.1914	89.43	7.295	7.694	0.1707	7.264	0.07553	134.6	4.902	7.204	0.05598	8.178	0.07791	92.38	4.118	8.273	0.06382	7.895	0.1847	119.3	11.66	7.557	0.1383	6.183	0.112	180.2	8.975	6.463	0.1292	4.563	0.04306	40.8	2.08	4.047	0.06353	4.797	0.2189	35.56	5.487	4.367	0.1451	5.118	0.1832	35.13	4.063	4.625	0.1282	5.057	0.09611	55.19	3.362	4.712	0.07395	4.911	0.09597	48.48	3.505	4.632	0.09139	7.058	0.05628	114.1	3.1	7.278	0.05712	5.3	0.1273	62.24	4.413	4.518	0.1014	5.809	0.06501	118.3	5.421	5.789	0.03925	5.699	0.05582	88.89	2.492	5.277	0.0499	5.387	0.04293	253	15.09	5.542	0.0717	4.546	0.2292	46.63	9.604	3.96	0.1308	4.472	0.01272	58.9	1.51	4.104	0.01957	4.363	0.04114	95.37	3.786	4.295	0.01601	4.829	0.02697	83.51	2.2	4.614	0.01751	4.542	0.03402	93.47	2.741	4.482	0.02214	6.101	0.15	73.36	5.043	5.901	0.1264	5.049	0.1033	106.6	6.781	4.784	0.07881	5.416	0.06986	97.02	4.966	5.24	0.03475	5.51	0.06505	87.37	2.967	5.22	0.04535	5.231	0.04454	428.6	11.64	5.019	0.05157	0.125	NA	0.15306	NA	0.12821	NA	0.21795	NA	1	NA	0.13924	NA	0.14141	NA	0.091837	NA	0.15957	NA	0.20513	NA	0.2093	NA	0.13333	NA	0.1405	NA	0.13483	NA	0.13187	NA	0.14851	NA	0.089109	NA	0.13636	NA	0.17391	NA	0.10891	NA	0.14118	NA	0.17708	NA	0.21429	NA	0.15	NA	0.07619	NA	0.56757	NA	0.56522	NA	0.53425	NA	0.61667	NA	1	NA	0.59016	NA	0.50704	NA	0.38889	NA	0.57534	NA	0.62295	NA	0.57143	NA	0.57576	NA	0.64	NA	0.52941	NA	0.48611	NA	0.51282	NA	0.48649	NA	0.58462	NA	0.52055	NA	0.49351	NA	0.5873	NA	0.53846	NA	0.62295	NA	0.57143	NA	0.52703	NA	0.085714	NA	0.11719	NA	0.098684	NA	0.19	NA	1	NA	0.13	NA	0.097744	NA	0.058824	NA	0.099174	NA	0.13462	NA	0.092437	NA	0.096491	NA	0.11486	NA	0.11864	NA	0.11111	NA	0.12403	NA	0.088	NA	0.10526	NA	0.12605	NA	0.076923	NA	0.14679	NA	0.12295	NA	0.11404	NA	0.12097	NA	0.075758	NA
NR	NR	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	8.11	0.09792	91.15	4.056	8.009	0.08001	6.16	0.1215	39.86	2.299	5.185	0.09985	6.586	2.434	62.68	0.08202	6.073	0.06816	6.709	0.05498	69.87	1.836	6.31	0.04421	5.567	0.1507	84.82	6.831	4.837	0.1176	NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	6.988	0.064	98.88	2.698	6.577	0.1332	5.938	0.1708	36.71	3.031	5.15	0.1284	6.522	0.06701	66.05	2.089	6.214	0.05522	6.277	0.1589	61.09	4.615	5.375	0.1277	6.082	0.1469	34.23	2.285	5.407	0.1347	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	0.16	NA	0.13187	NA	0.10909	NA	0.16438	NA	0.13924	NA	1	NA	0.13187	NA	0.12791	NA	0.13793	NA	0.16667	NA	0.093023	NA	0.24324	NA	0.13274	NA	0.1519	NA	0.13415	NA	0.12766	NA	0.052632	NA	0.26761	NA	0.13953	NA	0.2439	NA	0.47458	NA	0.11957	NA	0.22667	NA	0.19318	NA	0.072917	NA	0.57813	NA	0.45313	NA	0.42647	NA	0.49091	NA	0.59016	NA	1	NA	0.41538	NA	0.39344	NA	0.5873	NA	0.64706	NA	0.52727	NA	0.71154	NA	0.5	NA	0.4127	NA	0.37313	NA	0.47143	NA	0.37681	NA	0.69231	NA	0.45455	NA	0.5625	NA	0.77083	NA	0.4	NA	0.55556	NA	0.46154	NA	0.46269	NA	0.096	NA	0.07563	NA	0.085714	NA	0.10638	NA	0.13	NA	1	NA	0.07377	NA	0.07767	NA	0.1028	NA	0.18391	NA	0.074766	NA	0.15789	NA	0.086957	NA	0.083333	NA	0.095238	NA	0.13043	NA	0.070796	NA	0.18085	NA	0.14423	NA	0.15741	NA	0.35802	NA	0.099099	NA	0.16667	NA	0.14815	NA	0.10435	NA
5.911	0.01607	99.47	1.143	5.896	0.0128	5.997	0.01056	98.47	0.7442	5.967	0.01055	6.644	0.01475	100.3	0.6769	6.658	0.0109	6.646	0.0127	99.88	0.5805	6.648	0.009403	6.362	0.01421	99.06	0.9146	6.362	0.0111	8.555	0.0682	104.1	3.697	8.627	0.04214	6.474	0.05377	103.7	3.356	6.429	0.02831	7.267	0.04898	101.8	2.965	7.297	0.02774	7.519	0.05471	103.9	3.387	7.403	0.02857	7.067	0.0602	96.36	2.604	6.575	0.05275	5.651	0.02601	98.01	1.856	5.629	0.02216	5.621	0.02089	98.49	1.627	5.648	0.01728	6.235	0.01822	100.8	0.8927	6.243	0.0129	6.33	0.01349	100.6	0.6504	6.348	0.01027	6.02	0.01706	99.43	1.197	6.057	0.01443	8.765	0.07125	95.83	3.072	8.444	0.05332	6.351	0.06804	98.87	4.062	7.235	0.03843	7.236	0.03265	102.8	1.99	8.73	0.06362	6.763	0.07352	99.34	4.387	6.214	0.04666	6.9	0.06919	101.2	3.633	6.723	0.04752	6.218	0.02003	99.48	0.9327	6.24	0.0175	6.283	0.01734	100.3	0.7972	6.28	0.01406	6.55	0.01433	100	0.6256	6.572	0.0144	7.049	0.02462	102.5	1.347	7.116	0.02076	6.859	0.01993	99.38	1.075	6.882	0.01907	9.072	0.05508	103.9	3.098	8.985	0.03797	6.141	0.2597	107.8	16.1	5.918	0.03689	7.197	0.05045	111.3	3.566	7.023	0.02705	6.599	0.1214	103.9	3.96	6.589	0.06256	7.289	0.05346	100.5	2.436	7.268	0.0458	6.387	0.03225	103.5	1.972	6.289	0.02399	6.567	0.0323	98.44	1.411	6.575	0.02899	6.657	0.02404	98.58	1.357	6.67	0.02523	6.857	0.02604	99.52	1.054	7.025	0.02603	6.741	0.02492	99.89	1.078	6.825	0.02335	9.363	0.04248	96.16	1.871	9.404	0.04005	6.086	0.0728	102.5	4.765	5.858	0.03617	6.554	0.0882	117.7	5.854	6.552	0.03942	6.513	0.08789	98.46	5.428	6.442	0.03806	6.11	0.06518	93.42	3.046	4.967	0.07965	0.13008	NA	0.4	NA	0.33028	NA	0.14894	NA	0.14141	NA	0.13187	NA	1	NA	0.17647	NA	0.10909	NA	0.11458	NA	0.15842	NA	0.16162	NA	0.11852	NA	0.5	NA	0.31818	NA	0.09322	NA	0.088496	NA	0.14141	NA	0.11009	NA	0.10619	NA	0.1828	NA	0.125	NA	0.16162	NA	0.19626	NA	0.11504	NA	0.44156	NA	0.80702	NA	0.64615	NA	0.4375	NA	0.50704	NA	0.41538	NA	1	NA	0.43939	NA	0.48649	NA	0.46875	NA	0.44615	NA	0.45588	NA	0.55263	NA	0.76786	NA	0.78947	NA	0.36145	NA	0.36364	NA	0.44118	NA	0.37662	NA	0.42857	NA	0.43939	NA	0.4557	NA	0.44615	NA	0.56716	NA	0.47945	NA	0.042945	NA	0.34167	NA	0.29371	NA	0.12295	NA	0.097744	NA	0.07377	NA	1	NA	0.035971	NA	0.041379	NA	0.054264	NA	0.11278	NA	0.067164	NA	0.057803	NA	0.41509	NA	0.22314	NA	0.065359	NA	0.062069	NA	0.074627	NA	0.062937	NA	0.067568	NA	0.11719	NA	0.061644	NA	0.12403	NA	0.14599	NA	0.052632	NA
6.435	0.1319	15.11	0.9729	5.809	0.09892	6.369	0.0878	18.83	0.813	5.68	0.06759	6.805	0.04087	68.35	1.328	6.686	0.03022	6.869	0.05181	65.14	1.602	6.723	0.03896	6.548	0.05004	44.03	1.064	6.274	0.03769	9.991	0.0725	97.25	5.17	9.889	0.05858	7.671	0.05448	86.58	3.205	7.34	0.03269	7.936	0.05807	98.08	3.799	7.91	0.03267	8.535	0.06979	104.1	3.777	8.519	0.0573	8.161	0.1292	116.1	10.24	7.841	0.11	NR 	NR 	0	0	0	0	6.722	0.1508	6.398	0.4604	5.686	0.1144	6.682	0.07633	37.61	1.373	6.285	0.05936	6.737	0.04362	41.69	0.8671	6.365	0.03738	6.474	0.07196	20.99	0.7343	5.353	0.05571	8.692	0.08837	80.3	3.022	8.077	0.07912	7.141	0.1311	79.52	5.361	6.902	0.08877	7.863	0.0623	94.96	3.96	8.349	0.03601	8.45	0.2407	106.1	14.32	7.985	0.1157	7.659	0.1656	100.4	6.622	7.443	0.1439	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	4.84	0.2256	27.55	4.401	4.035	0.1841	4.827	0.2254	16.35	2.656	3.937	0.1469	7.705	0.07165	120.6	10.69	8.185	0.08442	5.397	0.1284	37.76	2.618	4.26	0.1002	5.95	0.06632	98.11	3.155	5.75	0.04609	5.808	0.0541	70.84	1.89	5.235	0.04428	5.173	0.1139	63.86	4.192	5.053	0.09061	NR	NR	0	0	0	0	NR	NR	0	0	4.159	0.2475	5.582	0.1419	7.51	0.5484	4.244	0.1075	5.413	0.06942	17.23	0.6551	4.528	0.06304	5.183	0.07058	12.85	0.5513	4.202	0.06528	6.762	0.09068	83.74	3.128	6.682	0.09766	5.109	0.1116	54.67	3.658	4.405	0.08251	5.573	0.09958	92.39	6.325	5.311	0.04663	5.49	0.1259	78.72	6.895	5.142	0.04757	5.669	0.09841	175.5	13.44	4.79	0.04907	0.26667	NA	0.17647	NA	0.14876	NA	0.1087	NA	0.091837	NA	0.12791	NA	0.17647	NA	1	NA	0.17172	NA	0.13483	NA	0.12121	NA	0.18478	NA	0.25	NA	0.18681	NA	0.17021	NA	0.078947	NA	0.073394	NA	0.1383	NA	0.095238	NA	0.091743	NA	0.13043	NA	0.090909	NA	0.10101	NA	0.11927	NA	0.1215	NA	0.625	NA	0.41176	NA	0.53846	NA	0.30769	NA	0.38889	NA	0.39344	NA	0.43939	NA	1	NA	0.63492	NA	0.38095	NA	0.42623	NA	0.5082	NA	0.6087	NA	0.46032	NA	0.46154	NA	0.37662	NA	0.4	NA	0.51667	NA	0.45588	NA	0.43056	NA	0.51724	NA	0.5	NA	0.45	NA	0.50769	NA	0.60317	NA	0.19048	NA	0.036765	NA	0.044304	NA	0.044643	NA	0.058824	NA	0.07767	NA	0.035971	NA	1	NA	0.13913	NA	0.074074	NA	0.057851	NA	0.10811	NA	0.18978	NA	0.04	NA	0.04065	NA	0.051471	NA	0.03876	NA	0.078261	NA	0.064516	NA	0.053435	NA	0.069565	NA	0.062992	NA	0.05042	NA	0.045802	NA	0.052632	NA
4.875	0.1395	13.82	1.299	4.252	0.09334	5.229	0.1577	11.88	1.069	4.576	0.1104	5.719	0.05073	58.31	1.472	5.539	0.03881	5.744	0.03051	60.37	0.9124	5.559	0.0234	5.553	0.03585	34.76	1.01	5.163	0.03414	8.709	0.09884	104.6	5.188	8.742	0.08428	6.315	0.05131	79.61	1.928	5.92	0.04975	6.462	0.07195	99.97	4.713	6.392	0.04663	7.012	0.06042	104.1	3.139	6.903	0.05073	6.813	0.09703	97.9	4.588	6.278	0.08089	NR 	NR 	0	0	5.502	0.44	NR	NR	0	0	0	0	5.225	0.113	35.82	2.1	4.814	0.03097	5.415	0.0377	41.49	0.8405	5.058	0.03056	5.425	0.08201	21.85	0.9599	4.806	0.06232	7.369	0.1939	155.9	11.97	7.453	0.195	5.819	0.05724	96.56	2.721	5.485	0.04541	6.5	0.06503	96.18	4.122	6.519	0.0429	6.36	0.08901	120.5	5.055	5.91	0.07312	6.143	0.155	100.7	7.257	5.972	0.1303	NR	NR	0	0	0	0	NR	NR	0	0	0	0	4.875	0.3095	8.374	3.88	3.824	0.2986	4.306	0.091	20.86	2.28	3.15	0.1285	4.254	0.2126	14.05	2.26	3.023	0.1075	6.648	0.05896	110.1	3.117	6.632	0.05036	5.191	0.1745	21.67	2.606	3.522	0.1332	5.504	0.07527	90.02	3.547	5.208	0.04773	4.91	0.08705	66.14	3.803	4.259	0.0607	4.335	0.1336	52.01	9.659	3.722	0.06931	NR	NR	0	0	0	0	NR	NR	0	0	3.118	0.2442	NR	NR	0	0	3.156	0.1349	4.48	0.1206	17.51	1.997	3.497	0.07816	4.158	0.1689	14.66	2.83	3.305	0.1029	5.887	0.1993	130.5	13.06	6.085	0.1999	4.4	0.1391	25.83	6.6	2.981	0.07896	4.874	0.0779	74.04	3.886	4.41	0.03445	4.591	0.07454	59.51	3.572	3.801	0.03275	4.568	0.09572	111.3	8.68	3.292	0.06975	0.25	NA	0.10909	NA	0.093023	NA	0.18182	NA	0.15957	NA	0.13793	NA	0.10909	NA	0.17172	NA	1	NA	0.21176	NA	0.07619	NA	0.20652	NA	0.3125	NA	0.11111	NA	0.098039	NA	0.13636	NA	0.091743	NA	0.15957	NA	0.15842	NA	0.1	NA	0.13978	NA	0.15094	NA	0.088235	NA	0.10714	NA	0.099099	NA	0.85938	NA	0.52055	NA	0.57534	NA	0.42857	NA	0.57534	NA	0.5873	NA	0.48649	NA	0.63492	NA	1	NA	0.59375	NA	0.47826	NA	0.72581	NA	0.8	NA	0.46575	NA	0.50685	NA	0.49383	NA	0.44872	NA	0.68254	NA	0.52	NA	0.51282	NA	0.60938	NA	0.57692	NA	0.5	NA	0.52703	NA	0.61111	NA	0.20769	NA	0.042254	NA	0.055215	NA	0.078261	NA	0.099174	NA	0.1028	NA	0.041379	NA	0.13913	NA	1	NA	0.11818	NA	0.062992	NA	0.14035	NA	0.20567	NA	0.045802	NA	0.054688	NA	0.086957	NA	0.068182	NA	0.11017	NA	0.094488	NA	0.058394	NA	0.083333	NA	0.083969	NA	0.056	NA	0.058824	NA	0.097015	NA
