	βarrestine 1											βarrestine 2											βarrestine 2-GRK2											βarrestine 2-GRK5											βarrestine 2-GRK6											cAMP											Gαi1											Gαi2											Gαo											Kir										
	pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM	
Cmp 5	5.5080	0.0517	61.1800	1.8130	1.5664	0.108825266	4.895	0.08473	5.2350	0.0500	3	5.5340	0.0412	69.5100	1.5830	2.0346	0.073974045	4.968	0.06586	5.3780	0.0384	3	5.7640	0.0411	82.9200	1.6850	2.5815	0.102081705	4.863	0.07946	3.6280	0.5454	3	6.2190	0.0367	98.6300	2.2490	NA	NA	NA	NA	6.2310	0.0235	3	6.0470	0.0325	88.9800	1.4000	2.754	0.147122628	4.576	0.1453	5.9620	0.0303	3	10.1900	0.1272	86.9600	5.1910	0.0414	0.213147109	9.054	0.193	9.9300	0.1052	7	6.0720	0.1128	112.9000	8.6000	2.3235	0.07615	5.108	0.1147	5.7450	0.0605	3	6.5230	0.0668	108.8000	4.6890	2.539	0.120279252	5.052	0.1211	6.3290	0.0406	4	6.7310	0.0974	100.2000	4.7280	1.9583	0.124193668	5.605	0.1374	6.4710	0.0728	6	6.6440	0.1351	95.0500	6.2680	0.997	0.127181906	6.126	0.1559	6.6790	0.0988	5
Cmp 6	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	0	0.118525239	8.465	0.5444	6.6840	0.5144	3	6.1900	0.0948	11.9400	0.5711	0.029	0.078042574	6.236	0.1372	5.2400	0.1164	3	NR	NR	NR	NR	0	0.095798827	6.132	0.2478	4.7640	0.2088	3	7.7160	0.1394	92.0900	6.0040	0.3053	0.302847965	6.336	0.3126	7.4750	0.1176	7	5.5510	0.2189	24.7500	3.2980	0.725	0.1197	5.118	0.2497	4.1560	0.1562	3	6.0870	0.1181	42.9300	2.6190	0.9834	0.089348211	5.562	0.1299	5.2830	0.0873	4	5.8650	0.1479	42.5700	3.4760	0.6505	0.112969791	5.362	0.1712	4.9200	0.1120	4	5.9660	0.3070	32.1000	5.0410	0	0.12866515	5.787	0.3123	5.3430	0.2488	4
Cmp 7	4.2500	0.0570	23.9800	2.0400	NA	NA	NA	NA	3.4620	0.0459	3	4.3850	0.1219	27.0700	2.8800	NA	NA	NA	NA	3.4810	0.0502	3	4.1400	0.1348	55.5600	9.0890	1.8819	0.198827076	3.755	0.2367	3.8560	0.0649	3	4.5010	0.0530	67.6100	3.2670	2.519	2.001171692	2.618	2.048	4.1170	0.0313	3	4.4220	0.0504	44.3200	2.3000	NA	NA	NA	NA	3.8740	0.0214	3	7.1870	0.1435	93.0800	6.2700	0.6753	0.613389151	5.492	0.6458	7.0020	0.1162	7	4.9830	0.0939	115.5000	8.5010	2.817	0.2614	3.552	0.2868	4.6810	0.0369	3	5.3560	0.0636	100.6000	3.3920	NA	NA	NA	NA	5.2110	0.0371	4	5.2790	0.0777	115.4000	5.0270	NA	NA	NA	NA	5.0630	0.0465	4	5.0510	0.0648	135.9000	6.6000	0.8164	0.170586783	5.1	0.2276	5.4720	0.1018	4
Cmp 8	6.5940	0.0616	89.9700	2.6870	NA	NA	NA	NA	6.6380	0.0537	3	6.5770	0.0779	109.3000	5.0420	NA	NA	NA	NA	6.6520	0.0480	3	6.8000	0.0857	104.6000	5.1880	NA	NA	NA	NA	6.8140	0.0501	3	7.1830	0.0638	90.2200	3.3200	1.8546	0.084296084	6.196	0.07395	7.0190	0.0423	3	6.9320	0.0620	88.6300	2.5130	NA	NA	NA	NA	6.7800	0.0528	3	9.0810	0.0825	98.7100	4.5000	0.7533	0.26502747	7.415	0.2324	9.0030	0.0702	7	8.0530	0.0436	140.8000	4.5850	NA	NA	NA	NA	7.9320	0.0377	3	8.1950	0.0555	121.6000	5.1260	NA	NA	NA	NA	8.1730	0.0430	4	8.4100	0.0784	126.3000	4.8830	NA	NA	NA	NA	8.3550	0.0614	6	8.4890	0.1153	102.3000	5.8640	1.0776	0.125007973	7.842	0.1412	8.4750	0.0835	4
Cmp 9	NR	NR	NR	NR	0	0.138889914	5.951	0.444	4.7250	0.3920	3	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	3	6.1030	0.1422	9.3090	0.6295	0.702	0.090290665	6.373	0.1589	5.2940	0.1429	3	6.5410	0.1023	28.7400	1.3320	0.5838	0.073340162	6.347	0.0955	5.9070	0.0828	3	6.3160	0.1420	16.1900	1.0530	0.54	0.075311192	6.237	0.1302	5.4090	0.1140	3	9.1420	0.0919	93.7700	4.8520	0.3533	0.20477307	7.807	0.157	8.9950	0.0767	7	6.5070	0.1580	52.1600	3.9580	1.3145	0.05833	5.994	0.1554	5.6220	0.1246	3	6.8110	0.0735	56.3600	2.0040	1.29128	0.071410933	6.166	0.07348	6.1950	0.0570	4	6.8520	0.1597	62.5200	4.8500	1.07132	0.098754375	6.312	0.1506	6.2910	0.1202	4	6.6550	0.1330	64.1100	4.0900	0.47904	0.098242279	6.401	0.1198	6.4350	0.1006	4
Cmp 10	4.8590	0.0579	20.4300	2.0400	0.6714	0.166782026	4.735	0.3472	4.1800	0.2424	3	4.5520	0.1454	20.7000	2.8800	1.3247	0.242367112	4.012	0.3855	3.7130	0.1667	3	5.0790	0.2502	21.1400	3.4730	1.1598	0.127670405	4.945	0.2499	4.3230	0.1775	6	4.6350	0.1108	45.8000	2.2900	1.9092	1.534528312	3.059	1.644	3.9460	0.1279	5	4.2640	0.0468	36.0400	2.3000	1.0875	0.17476246	4.31	0.2896	4.0290	0.1510	6	6.2530	0.1667	96.2300	10.1700	NA	NA	NA	NA	6.3510	0.0997	7	5.7820	0.0552	100.7000	3.1500	2.6006	0.1665	4.44	0.196	5.3530	0.0435	3	5.9550	0.0600	110.4000	4.8660	NA	NA	NA	NA	5.8640	0.0285	4	5.9090	0.0839	113.5000	5.3120	NA	NA	NA	NA	5.6730	0.0526	4	5.8270	0.0939	150.6000	8.1260	NA	NA	NA	NA	6.0440	0.0682	4
Cmp 11	6.0880	0.0471	89.4400	2.7600	2.503	0.233280441	4.719	0.238	5.9960	0.0512	3	6.1180	0.0314	98.3000	1.4440	NA	NA	NA	NA	6.1040	0.0228	3	6.3830	0.0231	94.4200	1.0300	NA	NA	NA	NA	6.3030	0.0297	3	6.8050	0.0408	100.3000	1.8630	NA	NA	NA	NA	6.8590	0.0364	3	6.6610	0.0452	94.2900	1.9320	NA	NA	NA	NA	6.6530	0.0334	3	9.5880	0.1278	86.7700	7.0280	0.1783	0.206603485	8.334	0.1857	9.3470	0.1126	5	6.9460	0.0853	116.5000	6.1870	2.5269	0.05957	5.834	0.08847	6.6740	0.0499	4	7.3000	0.1056	118.8000	7.4860	NA	NA	NA	NA	7.1330	0.0538	3	7.1860	0.0994	96.1800	4.9120	1.8294	0.106164757	6.208	0.1153	6.9450	0.0726	4	7.4330	0.1367	111.4000	8.3450	NA	NA	NA	NA	7.4040	0.0841	3
Cmp 12	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	7.5290	0.1224	81.7200	4.8540	0.0476	0.257155517	6.444	0.2599	7.3260	0.1069	6	5.3830	0.2366	28.7900	5.5410	0.8063	0.1617	5.092	0.284	4.2110	0.1444	4	6.9200	0.1483	30.5200	2.2100	0.6668	0.08537796	6.448	0.1542	5.8530	0.1239	3	6.7520	0.2255	19.3700	2.2590	0	0.111496597	6.445	0.2153	5.3530	0.1636	6	5.5550	0.1730	40.8100	6.6000	0.2851	0.178952984	5.224	0.3374	5.0640	0.2039	4
Cmp 13	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NR	NR	NR	NR	NR	NR	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NR	NR	NR	NR	NR	NR	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	6.1350	0.1309	122.2000	10.2400	NA	NA	NA	NA	6.4300	0.1020	5	5.4430	0.2041	23.9300	3.3810	0.661	0.1324	5.053	0.2502	4.0260	0.1445	4	5.6840	0.1485	33.9700	2.6010	0.7434	0.091880425	5.286	0.1545	4.7670	0.1136	3	5.2970	0.1496	63.0300	5.5000	1.07935	0.1469413	4.642	0.2089	4.6290	0.1118	6	5.1540	0.2657	50.6600	8.0160	0.3228	0.132073873	5.054	0.247	4.9320	0.1863	4
Cmp 14	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	6.3080	0.1376	100.0000	8.1440	NA	NA	NA	NA	6.3550	0.0889	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cmp 15	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	7	5.3940	0.3628	12.9000	2.5190	0.201	0.126	5.168	0.3435	3.6820	0.2609	4	6.6150	0.2579	13.0400	1.6270	0	0.090820795	6.487	0.2204	5.2250	0.1880	3	7.8440	0.3789	-18.7300	4.4820	NA	NA	NA	NA	NA	NA	6	4.7020	0.3666	29.1400	6.6000	NA	NA	NA	NA	3.9130	0.1538	5
Cmp 16	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NR	NR	NR	NR	NR	NR	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	8.4000	0.1626	85.3300	6.6280	0	0.234759451	7.267	0.251	8.1020	0.1459	7	5.6070	0.2278	21.3600	3.3960	0.9762	0.1217	4.777	0.2058	5.9660	0.1776	4	6.9880	0.2341	29.5700	3.2860	0.6121	0.09557205	6.616	0.2138	5.9660	0.1776	3	6.5190	0.2446	34.4500	4.1470	0.4641	0.120296655	6.066	0.2421	5.4380	0.1874	6	7.6600	0.3062	61.3400	9.9060	0.2942	0.106969846	8.031	0.241	7.8810	0.2143	3
