9.248	0.06244	88.35	5.004	9.145	0.07237	8.212	4.125	58.86	4.125	7.857	0.09472
10.23	0.09331	93.71	4.044	10.16	0.07645	7.195	0.1616	100.4	9.745	7.189	0.07035
9.646	0.06913	93.91	3.82	9.503	0.04678	7.126	0.05829	91.58	3.319	6.982	0.03506
10.52	0.09011	94.44	4.121	10.5	0.06873	7.613	0.04543	91.18	2.081	7.606	0.03863
9.727	0.0615	97.73	3.035	9.68	0.04985	8.21	0.09141	103.1	6.285	8.059	0.05286
8.11	0.09792	91.15	4.056	8.009	0.08001	6.586	2.434	62.68	0.08202	6.073	0.06816
8.555	0.0682	104.1	3.697	8.627	0.04214	7.267	0.04898	101.8	2.965	7.297	0.02774
9.991	0.0725	97.25	5.17	9.889	0.05858	7.936	0.05807	98.08	3.799	7.91	0.03267
8.709	0.09884	104.6	5.188	8.742	0.08428	6.462	0.07195	99.97	4.713	6.392	0.04663
6.287	0.07979	85.7	5.17	6.259	0.06892	4.967	0.1914	59.86	7.342	4.513	0.1337
8.83	0.12	102.6	6.348	8.841	0.09605	6.701	0.2268	60.52	9.453	6.122	0.1082
8.987	0.08345	90.03	4.034	8.847	0.06725	7.678	0.3259	62	5.58	7.466	0.1385
8.975	0.06393	95.22	5.185	8.902	0.07722	7.517	0.147	44.81	3.757	6.787	0.1083
11.07	0.05202	90.32	3.786	10.98	0.05135	8.804	0.1861	88.69	8.938	8.953	0.1372
8.951	0.0965	92.11	4.732	8.855	0.07652	7.424	0.1071	76.27	5.381	7.043	0.05597
9.527	0.1071	81.84	5.567	9.385	0.08322	8.02	0.161	107.5	9.87	8.09	0.06601
8.284	0.1291	92.16	5.63	8.129	0.09375	6.825	0.06934	98.85	4.439	6.745	0.04565
9.153	0.1179	89.75	5.9	9.028	0.09279	8.016	0.1179	64.8	4.163	7.74	0.08414
8.711	0.1219	98.45	6.131	8.642	0.09212	6.983	0.08959	88.86	5.047	6.781	0.0574
8.134	0.1255	96.03	5.692	8.136	0.0945	6.199	0.1169	88.64	6.772	5.98	0.05949
9.069	0.1351	93.65	6.969	8.995	0.1028	7.726	0.1843	93.05	10.41	7.476	0.09408
8.565	0.1439	97.54	6.734	8.55	0.1087	6.756	0.09209	94.85	5.554	6.553	0.05938
9.203	0.1432	90.29	7.407	9.109	0.1093	7.404	0.1438	40.67	3.235	6.626	0.1099
8.674	0.1175	92.98	5.47	8.522	0.09066	6.221	0.1373	79.92	7.036	5.929	0.06537
9.511	0.1138	99.02	6.371	9.451	0.0594	7.624	0.09512	90.18	5.569	7.383	0.05261
